"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rbm3",6.57968302732112e-267,1.534386627808,0.99,0.942,2.04318897047403e-262,"A","Rbm3"
"B2m",6.50526815344563e-235,-0.955483349403904,0.997,0.999,2.02008091968947e-230,"A","B2m"
"Lst1",1.54256646314106e-220,-2.03362565375631,0.752,0.958,4.79013163799193e-216,"A","Lst1"
"Rps18",4.96466625471205e-209,0.805597326640727,0.999,0.996,1.54167781207573e-204,"A","Rps18"
"H2-K1",1.20390074116723e-204,-1.14528985247766,0.996,0.999,3.73847297154661e-200,"A","H2-K1"
"H2-Ab1",2.54366710383938e-199,-2.77507817599366,0.823,0.967,7.89884945755242e-195,"A","H2-Ab1"
"Cirbp",1.13260732752399e-198,1.79586815131856,0.906,0.466,3.51708553416024e-194,"A","Cirbp"
"Rps23",1.25767511152683e-196,0.569275413628052,0.997,0.998,3.90545852382426e-192,"A","Rps23"
"Jaml",1.39901439027986e-196,2.4732982935821,0.816,0.284,4.34435938613604e-192,"A","Jaml"
"H2-Aa",1.52988804211825e-192,-2.69506516073483,0.788,0.957,4.75076133718979e-188,"A","H2-Aa"
"Rps25",4.59348504212182e-191,0.586915617054844,0.995,0.996,1.42641491013009e-186,"A","Rps25"
"Rpl3",1.11845226948711e-190,0.691644398730829,0.998,0.998,3.47312983243833e-186,"A","Rpl3"
"Fkbp5",3.9654786786805e-190,1.58994713856094,0.952,0.64,1.23140009409066e-185,"A","Fkbp5"
"Rpl32",4.78082256660489e-189,0.668592758037433,0.999,0.998,1.48458883160782e-184,"A","Rpl32"
"Rpl14",2.06369785539023e-188,0.712432410692017,0.995,0.997,6.40840095034329e-184,"A","Rpl14"
"Rps8",4.85271305158406e-182,0.552855644525795,0.999,1,1.5069129839084e-177,"A","Rps8"
"Rpl13",1.09827580324295e-174,0.585052646969359,1,0.999,3.41047585181034e-170,"A","Rpl13"
"Rps10",1.77881022788731e-173,0.536813705463171,0.998,1,5.52373940065846e-169,"A","Rps10"
"Rpl12",5.3324907175584e-171,0.615327510039397,1,0.993,1.65589834252341e-166,"A","Rpl12"
"H2-Eb1",9.47758833743118e-171,-2.69182069825753,0.778,0.942,2.9430755064225e-166,"A","H2-Eb1"
"Cd74",2.06848209512829e-170,-2.15589824809071,0.959,0.992,6.42325745000188e-166,"A","Cd74"
"Ctsl",1.3121827481712e-168,1.02778226140775,0.995,0.951,4.07472108789604e-164,"A","Ctsl"
"Rps13",5.29645171002959e-166,0.550801724581868,0.997,0.997,1.64470714951549e-161,"A","Rps13"
"Rps27a",2.99928889121102e-164,0.531733587231474,0.998,1,9.31369179387759e-160,"A","Rps27a"
"Rplp0",3.44128526985591e-164,0.706432472179784,0.999,0.999,1.06862231484835e-159,"A","Rplp0"
"Stat1",4.62063414600099e-163,-2.92089087444998,0.379,0.8,1.43484552135769e-158,"A","Stat1"
"Sdc3",4.02657193806023e-162,-2.5617328070444,0.647,0.903,1.25037138392584e-157,"A","Sdc3"
"Tpt1",7.34976110884858e-161,0.448665324307819,1,1,2.28232131713075e-156,"A","Tpt1"
"AW112010",7.12443155683038e-160,-2.22457961090232,0.766,0.941,2.21234973134254e-155,"A","AW112010"
"Rpl8",8.51646617388944e-160,0.565764661732614,1,0.996,2.64461824097789e-155,"A","Rpl8"
"Rpsa",6.2401216661075e-159,0.610465632321188,0.998,0.999,1.93774498097636e-154,"A","Rpsa"
"Rpl11",9.84578052546789e-159,0.567324440536597,0.999,0.998,3.05741022657355e-154,"A","Rpl11"
"Rps9",8.96448775639883e-157,0.529645202056787,0.997,1,2.78374238299453e-152,"A","Rps9"
"Rps19",9.81857094340377e-155,0.531658093577081,0.997,0.999,3.04896083505517e-150,"A","Rps19"
"Rpl23",1.35892873092412e-154,0.489812225497741,0.999,0.998,4.21988138813866e-150,"A","Rpl23"
"Rpl17",7.1579319838243e-154,0.524597531362144,0.997,0.998,2.22275261893696e-149,"A","Rpl17"
"Pla2g7",3.29738768576067e-152,1.07993116165185,0.982,0.879,1.02393779805926e-147,"A","Pla2g7"
"Rps2",8.9013334786341e-152,0.610661681531376,0.997,0.998,2.76413108512025e-147,"A","Rps2"
"Rpl10a",3.86220476428977e-151,0.566978121036432,0.998,0.996,1.1993304454549e-146,"A","Rpl10a"
"H2-T23",4.25724491280613e-151,-1.83970938279955,0.691,0.892,1.32200226277369e-146,"A","H2-T23"
"Rpl36",6.04542101913627e-150,0.524049405275659,0.997,0.997,1.87728458907239e-145,"A","Rpl36"
"Rpl30",7.35734730889443e-149,0.47709344619581,0.999,0.997,2.28467705983099e-144,"A","Rpl30"
"Rpl27a",9.44567412616389e-148,0.47242050995046,1,1,2.93316518639767e-143,"A","Rpl27a"
"Rps3a1",2.76477455343648e-147,0.487198463891757,0.998,0.999,8.5854544207863e-143,"A","Rps3a1"
"Rps6",4.27702469755664e-147,0.597227056353098,0.996,0.997,1.32814447933226e-142,"A","Rps6"
