"","pval","qval","gene","lineage"
"Cxcl9",1.91905769394129e-54,6.19050869013318e-53,"Cxcl9",1
"Marco",4.92971227982884e-41,1.10780051232109e-39,"Marco",1
"Cd207",2.11419214845023e-14,1.74726623838862e-13,"Cd207",1
"Cxcl10",2.04476686175163e-34,3.68426461576871e-33,"Cxcl10",1
"Hmox1",3.7773049418885e-31,6.09242732562661e-30,"Hmox1",1
"Ccl7",0.000257796010608298,0.000980212968092388,"Ccl7",1
"Apoc1",9.67579567287427e-77,5.09252403835488e-75,"Apoc1",1
"Ccl24",2.03353330987194e-49,5.57132413663546e-48,"Ccl24",1
"S100a4",0.0555846456462449,0.138615076424551,"S100a4",1
"Clec4f",4.89082480633414e-156,9.78164961266828e-154,"Clec4f",1
"Ccl5",3.80881967732952e-18,3.66232661281684e-17,"Ccl5",1
"S100a6",0.0150708460617867,0.0428149035846213,"S100a6",1
"Vsig4",2.47841505887019e-104,2.2531045989729e-102,"Vsig4",1
"Fabp5",0.00146087074754019,0.00499360552537895,"Fabp5",1
"Cxcl1",0.0100960541641478,0.029438547645454,"Cxcl1",1
"Ccl8",5.95195083992165e-13,4.40885247401603e-12,"Ccl8",1
"H2-M2",1.18729733990764e-19,1.23676806240379e-18,"H2-M2",1
"Cxcl13",3.01927510776664e-06,1.36928576315947e-05,"Cxcl13",1
"Serpina3g",1.98028705466756e-44,4.9507176366689e-43,"Serpina3g",1
"Gpnmb",3.33832121969831e-21,3.75092271876215e-20,"Gpnmb",1
"Dnase1l3",5.98540433744363e-17,5.49119663985654e-16,"Dnase1l3",1
"Fn1",1.28496535196193e-22,1.56703091702674e-21,"Fn1",1
"Cd5l",1.01427678286651e-274,4.05710713146605e-272,"Cd5l",1
"Stmn1",1.80834371882814e-08,1.00185247580507e-07,"Stmn1",1
"Ptgs2",0.00366313558788029,0.0116290018662866,"Ptgs2",1
"Tnip3",0.00402305277620268,0.0126710323659927,"Tnip3",1
"Spp1",4.38985575698426e-22,5.10448343835379e-21,"Spp1",1
"Cd163",3.30925930521217e-10,2.06184380387051e-09,"Cd163",1
"Ccl12",4.68570063227466e-22,5.41699495060654e-21,"Ccl12",1
"Ccl2",8.96926617412512e-32,1.49487769568752e-30,"Ccl2",1
"Iigp1",2.92374364291257e-27,4.23730962740952e-26,"Iigp1",1
"Id1",4.64128478962687e-13,3.47661781994522e-12,"Id1",1
"Gbp2",7.30743902265181e-56,2.39588164677108e-54,"Gbp2",1
"Plac8",6.92917396037228e-76,3.55342254378066e-74,"Plac8",1
"C3",5.24996050157141e-23,6.52169006406386e-22,"C3",1
"Phlda1",0.574740684167863,0.924763771790609,"Phlda1",1
"Lpl",2.12689627422874e-86,1.46682501670948e-84,"Lpl",1
"Ccl4",1.83196996792812e-13,1.40920766763702e-12,"Ccl4",1
"Fabp7",9.92270027294067e-19,9.72813752249085e-18,"Fabp7",1
"Gdf3",0.00265702859782428,0.00862091325164271,"Gdf3",1
"Lgals1",2.56650392172961e-40,5.64066795984529e-39,"Lgals1",1
"Apol7c",2.06440891908896e-05,8.74749541986849e-05,"Apol7c",1
"Acod1",8.47130898665394e-05,0.000342275110571876,"Acod1",1
"Birc5",0.365152420721045,0.686376730678657,"Birc5",1
"Il1rn",1.88853681762762e-05,8.07067016080179e-05,"Il1rn",1
"Ly6a",3.31107349537522e-83,2.20738233025014e-81,"Ly6a",1
"Ccl9",6.47425368808141e-36,1.23319117868217e-34,"Ccl9",1
"Cxcl2",0.000636559394102052,0.00230637461631178,"Cxcl2",1
"Clec4e",0.000887570761631692,0.00314741404833933,"Clec4e",1
"Fcna",7.89522290664684e-90,5.63944493331917e-88,"Fcna",1
"Mmp12",0.0565395409105891,0.140809757697045,"Mmp12",1
"Tnf",0.056605522594212,0.140809757697045,"Tnf",1
"Adamdec1",1.25394273729826e-05,5.46380277689873e-05,"Adamdec1",1
"F13a1",4.20782432948293e-81,2.55019656332299e-79,"F13a1",1
"Dusp2",1.60562821771643e-11,1.08123112304137e-10,"Dusp2",1
"C6",2.43762518297927e-23,3.10525501016467e-22,"C6",1
"Isg15",7.43638236289384e-63,2.75421568996068e-61,"Isg15",1
"C4b",2.25890708546221e-25,3.09439326775646e-24,"C4b",1
"Hilpda",4.83902228026789e-08,2.58081188280954e-07,"Hilpda",1
"F10",0.00506499036129594,0.0155845857270644,"F10",1
"Ear2",2.37235283735796e-09,1.42483653895373e-08,"Ear2",1
"Timd4",2.57293696105884e-19,2.59892622329176e-18,"Timd4",1
"Slc7a11",0.751491857387233,0.999838547650833,"Slc7a11",1
"Pclaf",0.857726370790461,0.999838547650833,"Pclaf",1
"Atp1b3",7.36961463576635e-13,5.41883429100467e-12,"Atp1b3",1
"Gm12840",7.70035594238702e-07,3.67558756199858e-06,"Gm12840",1
"Rsad2",1.63413821967014e-25,2.28550799953866e-24,"Rsad2",1
"Pf4",1.95940880051762e-15,1.70383373958054e-14,"Pf4",1
"Fcrls",2.49985050474402e-52,7.46224031266871e-51,"Fcrls",1
"Gbp2b",1.43557758155845e-18,1.38703147976662e-17,"Gbp2b",1
"Hspa1a",0.0447664726078367,0.114785827199581,"Hspa1a",1
"Plk2",0.0376826530042962,0.0978770207903798,"Plk2",1
"Slc40a1",3.12978144246483e-133,4.81504837302281e-131,"Slc40a1",1
"Slpi",0.00544031793324353,0.0165863351623278,"Slpi",1
"Mki67",0.422458535511732,0.761186550471589,"Mki67",1
"Nr4a2",0.0136600064370481,0.0391404195903956,"Nr4a2",1
"Serpina3f",2.72233822546184e-08,1.4804931226726e-07,"Serpina3f",1
"Adam8",0.106475182232411,0.246755926378705,"Adam8",1
"Ly6c2",0.695139566599906,0.999838547650833,"Ly6c2",1
"Hes1",6.51107686112159e-07,3.12281863842762e-06,"Hes1",1
"Sdc4",0.00441677312864823,0.0137808833967183,"Sdc4",1
"Ifit3",1.78220349933736e-25,2.47528263796855e-24,"Ifit3",1
"Egr2",9.99432827031211e-05,0.000399230304118359,"Egr2",1
"Ccl3",5.85742401113131e-14,4.64874921518358e-13,"Ccl3",1
"Hmgb2",1.30071401709914e-06,6.14994807139074e-06,"Hmgb2",1
"Lgals3",9.66929258233139e-40,2.07941775964116e-38,"Lgals3",1
"Il6",1.15647638618594e-05,5.0611658038772e-05,"Il6",1
"Gadd45g",0.00956868600915153,0.0281846421477217,"Gadd45g",1
"Procr",0.00320479956785288,0.010238976255121,"Procr",1
"H2-Eb1",0,0,"H2-Eb1",1
"Mcm5",0.313700470554824,0.612098479131364,"Mcm5",1
